	x		sin(x)		sin'(x)
  0.006800.2f	      0.01	      1.00
  0.006900.2f	      0.01	      1.00
  0.007000.2f	      0.01	      1.00
  0.007100.2f	      0.01	      1.00
  0.007200.2f	      0.01	      1.00
  0.007300.2f	      0.01	      1.00
  0.007400.2f	      0.01	      1.00
  0.007500.2f	      0.01	      1.00
  0.007600.2f	      0.01	      1.00
  0.007700.2f	      0.01	      1.00
  0.007800.2f	      0.01	      1.00
  0.007900.2f	      0.01	      1.00
  0.008000.2f	      0.01	      1.00
  0.008100.2f	      0.01	      1.00
  0.008200.2f	      0.01	      1.00
  0.008300.2f	      0.01	      1.00
  0.008400.2f	      0.01	      1.00
  0.008500.2f	      0.01	      1.00
  0.008600.2f	      0.01	      1.00
  0.008700.2f	      0.01	      1.00
  0.008800.2f	      0.01	      1.00
  0.008900.2f	      0.01	      1.00
  0.009000.2f	      0.01	      1.00
  0.009100.2f	      0.01	      1.00
  0.009200.2f	      0.01	      1.00
  0.009300.2f	      0.01	      1.00
  0.009400.2f	      0.01	      1.00
  0.009500.2f	      0.01	      1.00
  0.009600.2f	      0.01	      1.00
  0.009700.2f	      0.01	      1.00
  0.009800.2f	      0.01	      1.00
  0.009900.2f	      0.01	      1.00
  0.010000.2f	      0.01	      1.00
  0.010100.2f	      0.01	      1.00
  0.010200.2f	      0.01	      1.00
  0.010300.2f	      0.01	      1.00
  0.010400.2f	      0.01	      1.00
  0.010500.2f	      0.01	      1.00
  0.010600.2f	      0.01	      1.00
  0.010700.2f	      0.01	      1.00
  0.010800.2f	      0.01	      1.00
  0.010900.2f	      0.01	      1.00
  0.011000.2f	      0.01	      1.00
  0.011100.2f	      0.01	      1.00
  0.011200.2f	      0.01	      1.00
  0.011300.2f	      0.01	      1.00
  0.011400.2f	      0.01	      1.00
  0.011500.2f	      0.01	      1.00
  0.011600.2f	      0.01	      1.00
  0.011700.2f	      0.01	      1.00
  0.011800.2f	      0.01	      1.00
  0.011900.2f	      0.01	      1.00
  0.012000.2f	      0.01	      1.00
  0.012100.2f	      0.01	      1.00
  0.012200.2f	      0.01	      1.00
  0.012300.2f	      0.01	      1.00
  0.012400.2f	      0.01	      1.00
  0.012500.2f	      0.01	      1.00
  0.012600.2f	      0.01	      1.00
  0.012700.2f	      0.01	      1.00
  0.012800.2f	      0.01	      1.00
  0.012900.2f	      0.01	      1.00
  0.013000.2f	      0.01	      1.00
  0.013100.2f	      0.01	      1.00
  0.013200.2f	      0.01	      1.00
  0.013300.2f	      0.01	      1.00
  0.013400.2f	      0.01	      1.00
  0.013500.2f	      0.01	      1.00
  0.013600.2f	      0.01	      1.00
  0.013700.2f	      0.01	      1.00
  0.013800.2f	      0.01	      1.00
  0.013900.2f	      0.01	      1.00
  0.014000.2f	      0.01	      1.00
  0.014100.2f	      0.01	      1.00
  0.014200.2f	      0.01	      1.00
  0.014300.2f	      0.01	      1.00
  0.014400.2f	      0.01	      1.00
  0.014500.2f	      0.01	      1.00
  0.014600.2f	      0.01	      1.00
  0.014700.2f	      0.01	      1.00
  0.014800.2f	      0.01	      1.00
  0.014900.2f	      0.01	      1.00
  0.015000.2f	      0.01	      1.00
  0.015100.2f	      0.02	      1.00
  0.015200.2f	      0.02	      1.00
  0.015300.2f	      0.02	      1.00
  0.015400.2f	      0.02	      1.00
  0.015500.2f	      0.02	      1.00
  0.015600.2f	      0.02	      1.00
  0.015700.2f	      0.02	      1.00
  0.015800.2f	      0.02	      1.00
  0.015900.2f	      0.02	      1.00
  0.016000.2f	      0.02	      1.00
  0.016100.2f	      0.02	      1.00
  0.016200.2f	      0.02	      1.00
  0.016300.2f	      0.02	      1.00
  0.016400.2f	      0.02	      1.00
  0.016500.2f	      0.02	      1.00
  0.016600.2f	      0.02	      1.00
  0.016700.2f	      0.02	      1.00
  0.016800.2f	      0.02	      1.00
  0.016900.2f	      0.02	      1.00
  0.017000.2f	      0.02	      1.00
  0.017100.2f	      0.02	      1.00
  0.017200.2f	      0.02	      1.00
  0.017300.2f	      0.02	      1.00
  0.017400.2f	      0.02	      1.00
  0.017500.2f	      0.02	      1.00
  0.017600.2f	      0.02	      1.00
  0.017700.2f	      0.02	      1.00
  0.017800.2f	      0.02	      1.00
  0.017900.2f	      0.02	      1.00
  0.018000.2f	      0.02	      1.00
  0.018100.2f	      0.02	      1.00
  0.018200.2f	      0.02	      1.00
  0.018300.2f	      0.02	      1.00
  0.018400.2f	      0.02	      1.00
  0.018500.2f	      0.02	      1.00
  0.018600.2f	      0.02	      1.00
  0.018700.2f	      0.02	      1.00
  0.018800.2f	      0.02	      1.00
  0.018900.2f	      0.02	      1.00
  0.019000.2f	      0.02	      1.00
  0.019100.2f	      0.02	      1.00
  0.019200.2f	      0.02	      1.00
  0.019300.2f	      0.02	      1.00
  0.019400.2f	      0.02	      1.00
  0.019500.2f	      0.02	      1.00
  0.019600.2f	      0.02	      1.00
  0.019700.2f	      0.02	      1.00
  0.019800.2f	      0.02	      1.00
  0.019900.2f	      0.02	      1.00
  0.020000.2f	      0.02	      1.00
  0.020100.2f	      0.02	      1.00
  0.020200.2f	      0.02	      1.00
  0.020300.2f	      0.02	      1.00
  0.020400.2f	      0.02	      1.00
  0.020500.2f	      0.02	      1.00
  0.020600.2f	      0.02	      1.00
  0.020700.2f	      0.02	      1.00
  0.020800.2f	      0.02	      1.00
  0.020900.2f	      0.02	      1.00
  0.021000.2f	      0.02	      1.00
  0.021100.2f	      0.02	      1.00
  0.021200.2f	      0.02	      1.00
  0.021300.2f	      0.02	      1.00
  0.021400.2f	      0.02	      1.00
  0.021500.2f	      0.02	      1.00
  0.021600.2f	      0.02	      1.00
  0.021700.2f	      0.02	      1.00
  0.021800.2f	      0.02	      1.00
  0.021900.2f	      0.02	      1.00
  0.022000.2f	      0.02	      1.00
  0.022100.2f	      0.02	      1.00
  0.022200.2f	      0.02	      1.00
  0.022300.2f	      0.02	      1.00
  0.022400.2f	      0.02	      1.00
  0.022500.2f	      0.02	      1.00
  0.022600.2f	      0.02	      1.00
  0.022700.2f	      0.02	      1.00
  0.022800.2f	      0.02	      1.00
  0.022900.2f	      0.02	      1.00
  0.023000.2f	      0.02	      1.00
  0.023100.2f	      0.02	      1.00
  0.023200.2f	      0.02	      1.00
  0.023300.2f	      0.02	      1.00
  0.023400.2f	      0.02	      1.00
  0.023500.2f	      0.02	      1.00
  0.023600.2f	      0.02	      1.00
  0.023700.2f	      0.02	      1.00
  0.023800.2f	      0.02	      1.00
  0.023900.2f	      0.02	      1.00
  0.024000.2f	      0.02	      1.00
  0.024100.2f	      0.02	      1.00
  0.024200.2f	      0.02	      1.00
  0.024300.2f	      0.02	      1.00
  0.024400.2f	      0.02	      1.00
  0.024500.2f	      0.02	      1.00
  0.024600.2f	      0.02	      1.00
  0.024700.2f	      0.02	      1.00
  0.024800.2f	      0.02	      1.00
  0.024900.2f	      0.02	      1.00
  0.025000.2f	      0.02	      1.00
  0.025100.2f	      0.03	      1.00
  0.025200.2f	      0.03	      1.00
  0.025300.2f	      0.03	      1.00
  0.025400.2f	      0.03	      1.00
  0.025500.2f	      0.03	      1.00
  0.025600.2f	      0.03	      1.00
  0.025700.2f	      0.03	      1.00
  0.025800.2f	      0.03	      1.00
  0.025900.2f	      0.03	      1.00
  0.026000.2f	      0.03	      1.00
  0.026100.2f	      0.03	      1.00
  0.026200.2f	      0.03	      1.00
  0.026300.2f	      0.03	      1.00
  0.026400.2f	      0.03	      1.00
  0.026500.2f	      0.03	      1.00
  0.026600.2f	      0.03	      1.00
  0.026700.2f	      0.03	      1.00
  0.026800.2f	      0.03	      1.00
  0.026900.2f	      0.03	      1.00
  0.027000.2f	      0.03	      1.00
  0.027100.2f	      0.03	      1.00
  0.027200.2f	      0.03	      1.00
  0.027300.2f	      0.03	      1.00
  0.027400.2f	      0.03	      1.00
  0.027500.2f	      0.03	      1.00
  0.027600.2f	      0.03	      1.00
  0.027700.2f	      0.03	      1.00
  0.027800.2f	      0.03	      1.00
  0.027900.2f	      0.03	      1.00
  0.028000.2f	      0.03	      1.00
  0.028100.2f	      0.03	      1.00
  0.028200.2f	      0.03	      1.00
  0.028300.2f	      0.03	      1.00
  0.028400.2f	      0.03	      1.00
  0.028500.2f	      0.03	      1.00
  0.028600.2f	      0.03	      1.00
  0.028700.2f	      0.03	      1.00
  0.028800.2f	      0.03	      1.00
  0.028900.2f	      0.03	      1.00
  0.029000.2f	      0.03	      1.00
  0.029100.2f	      0.03	      1.00
  0.029200.2f	      0.03	      1.00
  0.029300.2f	      0.03	      1.00
  0.029400.2f	      0.03	      1.00
  0.029500.2f	      0.03	      1.00
  0.029600.2f	      0.03	      1.00
  0.029700.2f	      0.03	      1.00
  0.029800.2f	      0.03	      1.00
  0.029900.2f	      0.03	      1.00
  0.030000.2f	      0.03	      1.00
  0.030100.2f	      0.03	      1.00
  0.030200.2f	      0.03	      1.00
  0.030300.2f	      0.03	      1.00
  0.030400.2f	      0.03	      1.00
  0.030500.2f	      0.03	      1.00
  0.030600.2f	      0.03	      1.00
  0.030700.2f	      0.03	      1.00
