	x		f(x)	   f'(x) fd		f'(x) af		f''(x) fd		f''(x) ad
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
      0.14	      0.13	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.14	      0.14	      0.99	      0.99	      0.55	      0.55
      0.15	      0.14	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.15	      0.15	      0.99	      0.99	      0.55	      0.55
      0.16	      0.15	      0.99	      0.99	      0.55	      0.55
      0.16	      0.16	      0.99	      0.99	      0.55	      0.55
      0.16	      0.16	      0.99	      0.99	      0.55	      0.55
      0.16	      0.16	      0.99	      0.99	      0.55	      0.55
      0.16	      0.16	      0.99	      0.99	      0.55	      0.55
      0.16	      0.16	      0.99	      0.99	      0.55	      0.55
      0.16	      0.16	      0.99	      0.99	      0.55	      0.55
